Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.000720803;0.00158841;0.749629;0.00123233;1.71678;1.74984;0.0378525
2;0.000516401;0.00151144;0.750208;0.00121521;1.71764;1.74448;0.0375928
3;0.000530912;0.00147819;0.748821;0.00123093;1.721;1.74803;0.037551
4;0.000527894;0.00149342;0.7493;0.00120891;1.72376;1.75195;0.0375341
5;0.000520348;0.00147128;0.749878;0.00123147;1.72657;1.75205;0.0369685
6;0.000516955;0.00150644;0.750006;0.00121553;1.72729;1.75523;0.0369775
7;0.000520993;0.00147782;0.750619;0.00120396;1.72999;1.75364;0.0374334
8;0.000516231;0.00146655;0.750635;0.00122521;1.73012;1.75579;0.0367237
9;0.000521759;0.0015084;0.750758;0.00120259;1.72813;1.75369;0.037272
10;0.000508873;0.00149225;0.751297;0.00122724;1.72965;1.75363;0.0377375
11;0.000556334;0.00147211;0.750295;0.00121022;1.73114;1.75632;0.0372188
12;0.00050834;0.00149363;0.750197;0.00119545;1.73189;1.75476;0.0367793
13;0.000506269;0.001514;0.750721;0.00120547;1.73243;1.7553;0.0371454
14;0.000506634;0.00151184;0.750684;0.00123292;1.73225;1.75433;0.0375797
15;0.000520139;0.00152524;0.750959;0.00121184;1.73161;1.75324;0.037123
16;0.000501413;0.0014975;0.751103;0.00121396;1.73246;1.75499;0.0368782
17;0.000508632;0.00151213;0.751066;0.00120504;1.73134;1.75511;0.0371916
18;0.000508301;0.00147911;0.750595;0.00123482;1.73115;1.75318;0.0374728
19;0.000516737;0.00147715;0.750836;0.00119987;1.732;1.75288;0.0367706
20;0.000504549;0.00148995;0.750672;0.00122185;1.7318;1.75527;0.0375007
21;0.000510091;0.00149012;0.749223;0.00120934;1.73234;1.7526;0.0375453
22;0.000515414;0.00149988;0.750741;0.00121246;1.73528;1.7564;0.0369804
23;0.000522187;0.00148905;0.75034;0.00122158;1.737;1.76042;0.0367135
24;0.000507787;0.001552;0.753878;0.00121606;1.73617;1.75943;0.0377358
25;0.000507594;0.00148136;0.753716;0.0012135;1.73729;1.75357;0.0369447
26;0.000532174;0.00152251;0.749383;0.00120738;1.73399;1.75524;0.0376432
27;0.000529741;0.00151255;0.750804;0.00120889;1.73204;1.7546;0.0377251
28;0.000550514;0.00150199;0.749575;0.00120742;1.73055;1.75585;0.0372403
29;0.000514945;0.00147848;0.751131;0.00122915;1.73418;1.75614;0.0372882
30;0.000536205;0.00148654;0.75135;0.00121526;1.73134;1.75472;0.0367599
