Iteracion;degree;closeness;harmonic;ASP;betweenness;percolation;pagerank
1;0.000546921;0.001537;0.766435;0.00121873;1.75406;1.77515;0.0407789
2;0.0005294;0.00153807;0.766386;0.00122924;1.7569;1.77734;0.0404254
3;0.000524536;0.00147546;0.765597;0.00122302;1.75798;1.77736;0.0399374
4;0.000513918;0.00150495;0.765523;0.00122074;1.75808;1.77668;0.0400515
5;0.000508529;0.00149208;0.765153;0.0012216;1.75523;1.77771;0.0398307
6;0.000513907;0.00150077;0.765467;0.00122922;1.75666;1.77835;0.0405005
7;0.000526703;0.00148747;0.765744;0.00122395;1.75678;1.7791;0.0404364
8;0.000528705;0.00155906;0.764983;0.00121598;1.7588;1.77926;0.0398219
9;0.000532646;0.00147787;0.76522;0.0011843;1.75801;1.77804;0.0400238
10;0.00052575;0.00151015;0.764115;0.00120912;1.75666;1.77845;0.0407959
11;0.000557129;0.0015615;0.764653;0.001196;1.75731;1.77982;0.0404684
12;0.000532947;0.00148373;0.764325;0.00119254;1.75648;1.7803;0.0409252
13;0.00052152;0.00154754;0.765419;0.00122146;1.75557;1.7781;0.0406698
14;0.000525797;0.0015134;0.765045;0.00120009;1.75724;1.77852;0.039713
15;0.000524271;0.00149386;0.765215;0.00120376;1.75706;1.77975;0.0400123
16;0.000517218;0.0014844;0.76443;0.00122009;1.7569;1.78056;0.0405597
17;0.000542354;0.00148764;0.765539;0.00124277;1.75577;1.77839;0.040736
18;0.000553168;0.00147389;0.76393;0.00120965;1.76016;1.7794;0.0397588
19;0.000533493;0.0015061;0.764995;0.00126496;1.75859;1.78138;0.0403873
20;0.000536001;0.00147894;0.763383;0.00121061;1.75879;1.78135;0.0403014
21;0.000525865;0.00147204;0.765647;0.00119283;1.75669;1.78052;0.0398401
22;0.00052346;0.00151564;0.76498;0.00125889;1.75768;1.78055;0.040766
23;0.000526189;0.00150207;0.765629;0.0011958;1.75678;1.77863;0.0406582
24;0.000556009;0.00149023;0.763985;0.00121772;1.75786;1.77927;0.0399455
25;0.000500456;0.00148001;0.764751;0.00119292;1.75949;1.78167;0.0404014
26;0.000520704;0.00151185;0.76426;0.00119313;1.75985;1.77984;0.0405461
27;0.000500662;0.00153739;0.76499;0.00119111;1.7586;1.78069;0.0410682
28;0.000554592;0.00150533;0.764444;0.00122083;1.75873;1.77912;0.0399957
29;0.000517651;0.00151892;0.764566;0.0012197;1.7578;1.77877;0.0406524
30;0.000523196;0.00146737;0.765017;0.00122085;1.75893;1.7788;0.0408869
